facility_class,building_type,design_level,demand_type,height_in,modal_height_in,drift_slight,drift_moderate,drift_extensive,drift_complete,median_slight,beta_slight,median_moderate,beta_moderate,median_extensive,beta_extensive,median_complete,beta_complete
Essential Facility (Special Building),W1,High-Code,Sd_inches,168,126,0.0050,0.0150,0.0500,0.1250,0.63,0.66,1.89,0.72,6.30,0.72,15.75,0.91
Essential Facility (Special Building),W2,High-Code,Sd_inches,288,216,0.0050,0.0150,0.0500,0.1250,1.08,0.69,3.24,0.77,10.80,0.89,27.00,0.85
Essential Facility (Special Building),S1L,High-Code,Sd_inches,288,216,0.0075,0.0150,0.0375,0.1000,1.62,0.67,3.24,0.70,8.10,0.71,21.60,0.68
Essential Facility (Special Building),S1M,High-Code,Sd_inches,720,540,0.0050,0.0100,0.0250,0.0667,2.70,0.62,5.40,0.62,13.50,0.63,36.00,0.71
Essential Facility (Special Building),S1H,High-Code,Sd_inches,"1,872","1,123",0.0037,0.0075,0.0188,0.0500,4.21,0.63,8.42,0.62,21.06,0.62,56.16,0.63
Essential Facility (Special Building),S2L,High-Code,Sd_inches,288,216,0.0063,0.0125,0.0375,0.1000,1.35,0.69,2.70,0.80,8.10,0.89,21.60,0.84
Essential Facility (Special Building),S2M,High-Code,Sd_inches,720,540,0.0042,0.0083,0.0250,0.0667,2.25,0.62,4.50,0.66,13.50,0.66,36.00,0.71
Essential Facility (Special Building),S2H,High-Code,Sd_inches,"1,872","1,123",0.0031,0.0063,0.0188,0.0500,3.51,0.62,7.02,0.63,21.06,0.63,56.16,0.66
Essential Facility (Special Building),S3,High-Code,Sd_inches,180,135,0.0050,0.0100,0.0300,0.0875,0.68,0.66,1.35,0.71,4.05,0.80,11.81,0.90
Essential Facility (Special Building),S4L,High-Code,Sd_inches,288,216,0.0050,0.0100,0.0300,0.0875,1.08,0.77,2.16,0.82,6.48,0.92,18.90,0.91
Essential Facility (Special Building),S4M,High-Code,Sd_inches,720,540,0.0033,0.0067,0.0200,0.0583,1.80,0.69,3.60,0.67,10.80,0.68,31.50,0.82
Essential Facility (Special Building),S4H,High-Code,Sd_inches,"1,872","1,123",0.0025,0.0050,0.0150,0.0438,2.81,0.62,5.62,0.63,16.85,0.65,49.14,0.73
Essential Facility (Special Building),C1L,High-Code,Sd_inches,240,180,0.0063,0.0125,0.0375,0.1000,1.13,0.69,2.25,0.74,6.75,0.82,18.00,0.81
Essential Facility (Special Building),C1M,High-Code,Sd_inches,600,450,0.0042,0.0083,0.0250,0.0667,1.87,0.63,3.75,0.65,11.25,0.66,30.00,0.71
Essential Facility (Special Building),C1H,High-Code,Sd_inches,"1,440",864,0.0031,0.0063,0.0188,0.0500,2.70,0.63,5.40,0.63,16.20,0.63,43.20,0.69
Essential Facility (Special Building),C2L,High-Code,Sd_inches,240,180,0.0050,0.0125,0.0375,0.1000,0.90,0.69,2.25,0.72,6.75,0.82,18.00,0.95
Essential Facility (Special Building),C2M,High-Code,Sd_inches,600,450,0.0033,0.0083,0.0250,0.0667,1.50,0.65,3.75,0.69,11.25,0.66,30.00,0.70
Essential Facility (Special Building),C2H,High-Code,Sd_inches,"14,40",864,0.0025,0.0063,0.0188,0.0500,2.16,0.62,5.40,0.63,16.20,0.64,43.20,0.69
Essential Facility (Special Building),PC1,High-Code,Sd_inches,180,135,0.0050,0.0100,0.0300,0.0875,0.68,0.63,1.35,0.74,4.05,0.79,11.81,0.96
Essential Facility (Special Building),PC2L,High-Code,Sd_inches,240,180,0.0050,0.0100,0.0300,0.0875,0.90,0.76,1.80,0.80,5.40,0.87,15.75,0.97
Essential Facility (Special Building),PC2M,High-Code,Sd_inches,600,450,0.0033,0.0067,0.0200,0.0583,1.50,0.66,3.00,0.73,9.00,0.72,26.25,0.73
Essential Facility (Special Building),PC2H,High-Code,Sd_inches,"1,440",864,0.0025,0.0050,0.0150,0.0438,2.16,0.62,4.32,0.64,12.95,0.65,37.80,0.74
Essential Facility (Special Building),RM1L,High-Code,Sd_inches,240,180,0.0050,0.0100,0.0300,0.0875,0.90,0.70,1.80,0.74,5.40,0.76,15.75,0.98
Essential Facility (Special Building),RM1M,High-Code,Sd_inches,600,450,0.0033,0.0067,0.0200,0.0583,1.50,0.63,3.00,0.68,9.00,0.70,26.25,0.70
Essential Facility (Special Building),RM2L,High-Code,Sd_inches,240,180,0.0050,0.0100,0.0300,0.0875,0.90,0.66,1.80,0.70,5.40,0.76,15.75,0.97
Essential Facility (Special Building),RM2M,High-Code,Sd_inches,600,450,0.0033,0.0067,0.0200,0.0583,1.50,0.63,3.00,0.70,9.00,0.70,26.25,0.70
Essential Facility (Special Building),RM2H,High-Code,Sd_inches,"1,440",864,0.0025,0.0050,0.0150,0.0438,2.16,0.63,4.32,0.63,12.96,0.63,37.80,0.65
Essential Facility (Special Building),MH,High-Code,Sd_inches,120,120,0.0050,0.0100,0.0300,0.0875,0.60,0.81,1.20,0.89,3.60,0.97,10.50,0.86
Essential Facility (Special Building),W1,Moderate-Code,Sd_inches,168,126,0.0050,0.0124,0.0383,0.0937,0.63,0.76,1.56,0.77,4.82,0.78,11.81,0.96
Essential Facility (Special Building),W2,Moderate-Code,Sd_inches,288,216,0.0050,0.0124,0.0383,0.0938,1.08,0.79,2.68,0.86,8.27,0.88,20.25,0.84
Essential Facility (Special Building),S1L,Moderate-Code,Sd_inches,288,216,0.0075,0.0130,0.0294,0.0750,1.62,0.73,2.80,0.71,6.35,0.70,16.20,0.77
Essential Facility (Special Building),S1M,Moderate-Code,Sd_inches,720,540,0.0050,0.0086,0.0196,0.0500,2.70,0.64,4.67,0.65,10.58,0.66,27.00,0.75
Essential Facility (Special Building),S1H,Moderate-Code,Sd_inches,"1,872","1,123",0.0037,0.0065,0.0147,0.0375,4.21,0.62,7.29,0.62,16.51,0.66,42.12,0.70
Essential Facility (Special Building),S2L,Moderate-Code,Sd_inches,288,216,0.0063,0.0108,0.0292,0.0750,1.35,0.82,2.34,0.85,6.30,0.89,16.20,0.85
Essential Facility (Special Building),S2M,Moderate-Code,Sd_inches,720,540,0.0042,0.0072,0.0194,0.0500,2.25,0.66,3.90,0.66,10.50,0.68,27.00,0.81
Essential Facility (Special Building),S2H,Moderate-Code,Sd_inches,"1,872","1,123",0.0031,0.0054,0.0146,0.0375,3.51,0.62,6.08,0.63,16.38,0.65,42.12,0.71
Essential Facility (Special Building),S3,Moderate-Code,Sd_inches,180,135,0.0050,0.0087,0.0234,0.0656,0.68,0.77,1.17,0.81,3.16,0.89,8.86,0.89
Essential Facility (Special Building),S4L,Moderate-Code,Sd_inches,288,216,0.0050,0.0087,0.0234,0.0656,1.08,0.88,1.87,0.92,5.05,0.98,14.18,0.87
Essential Facility (Special Building),S4M,Moderate-Code,Sd_inches,720,540,0.0033,0.0058,0.0156,0.0437,1.80,0.70,3.12,0.67,8.41,0.70,23.62,0.90
Essential Facility (Special Building),S4H,Moderate-Code,Sd_inches,"1,872","1,123",0.0025,0.0043,0.0117,0.0328,2.81,0.66,4.87,0.66,13.13,0.70,36.86,0.81
Essential Facility (Special Building),C1L,Moderate-Code,Sd_inches,240,180,0.0063,0.0108,0.0292,0.0750,1.13,0.80,1.95,0.82,5.25,0.84,13.50,0.81
Essential Facility (Special Building),C1M,Moderate-Code,Sd_inches,600,450,0.0042,0.0072,0.0194,0.0500,1.87,0.66,3.25,0.67,8.75,0.66,22.50,0.84
Essential Facility (Special Building),C1H,Moderate-Code,Sd_inches,"1,440",864,0.0031,0.0054,0.0146,0.0375,2.70,0.64,4.68,0.64,12.60,0.68,32.40,0.81
Essential Facility (Special Building),C2L,Moderate-Code,Sd_inches,240,180,0.0050,0.0105,0.0289,0.0750,0.90,0.77,1.89,0.86,5.21,0.91,13.50,0.89
Essential Facility (Special Building),C2M,Moderate-Code,Sd_inches,600,450,0.0033,0.0070,0.0193,0.0500,1.50,0.71,3.16,0.70,8.68,0.69,22.50,0.83
Essential Facility (Special Building),C2H,Moderate-Code,Sd_inches,"1,440",864,0.0025,0.0053,0.0145,0.0375,2.16,0.64,4.55,0.65,12.51,0.66,32.40,0.79
Essential Facility (Special Building),PC1,Moderate-Code,Sd_inches,180,135,0.0050,0.0087,0.0234,0.0656,0.68,0.79,1.17,0.81,3.16,0.86,8.86,1.00
Essential Facility (Special Building),PC2L,Moderate-Code,Sd_inches,240,180,0.0050,0.0087,0.0234,0.0656,0.90,0.83,1.56,0.89,4.21,0.97,11.81,0.89
Essential Facility (Special Building),PC2M,Moderate-Code,Sd_inches,600,450,0.0033,0.0058,0.0156,0.0438,1.50,0.76,2.60,0.74,7.01,0.73,19.69,0.88
Essential Facility (Special Building),PC2H,Moderate-Code,Sd_inches,"1,440",864,0.0025,0.0043,0.0117,0.0328,2.16,0.65,3.75,0.66,10.10,0.70,28.35,0.81
Essential Facility (Special Building),RM1L,Moderate-Code,Sd_inches,240,180,0.0050,0.0087,0.0234,0.0656,0.90,0.80,1.56,0.85,4.21,0.92,11.81,0.97
Essential Facility (Special Building),RM1M,Moderate-Code,Sd_inches,600,450,0.0033,0.0058,0.0156,0.0438,1.50,0.73,2.60,0.75,7.01,0.75,19.69,0.80
