system,table,facility_type,code,size_category,anchoring,damage_state,median,unit,beta
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Bored/Drilled,HTU1,N/A,N/A,Slight,0.6,g,0.6
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Bored/Drilled,HTU1,N/A,N/A,Moderate,0.8,g,0.6
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Cut & Cover,HTU2,N/A,N/A,Slight,0.5,g,0.6
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Cut & Cover,HTU2,N/A,N/A,Moderate,0.7,g,0.6
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Bored/Drilled,HTU1,N/A,PGD,Slight,6.0,in,0.7
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Bored/Drilled,HTU1,N/A,PGD,Moderate,12.0,in,0.5
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Bored/Drilled,HTU1,N/A,PGD,Extensive/Complete,60.0,in,0.5
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Cut & Cover,HTU2,N/A,PGD,Slight,6.0,in,0.7
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Cut & Cover,HTU2,N/A,PGD,Moderate,12.0,in,0.5
Transportation-Highway/Railway/LightRail,7-9,Tunnel - Cut & Cover,HTU2,N/A,PGD,Extensive/Complete,60.0,in,0.5
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/ Backup Power,Slight,0.23,g,0.5
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/ Backup Power,Moderate,0.43,g,0.45
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/ Backup Power,Extensive,0.64,g,0.6
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/ Backup Power,Complete,1.1,g,0.6
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/o Backup Power,Slight,0.12,g,0.55
Transportation-Railway/LightRail/Airport,7-12,Fuel Facility,N/A,N/A,Anchored w/o Backup Power,Moderate,0.27,g,0.5
