system,table,facility_type,code,size_category,anchoring,damage_state,median_g,beta
Water,8-4,Water Treatment Plant,PWTS,Small,Anchored,Slight,0.25,0.5
Water,8-4,Water Treatment Plant,PWTS,Small,Anchored,Moderate,0.38,0.5
Water,8-4,Water Treatment Plant,PWTS,Small,Anchored,Extensive,0.53,0.6
Water,8-4,Water Treatment Plant,PWTS,Small,Anchored,Complete,0.83,0.6
Water,8-4,Water Treatment Plant,PWTS,Small,Unanchored,Slight,0.16,0.4
Water,8-4,Water Treatment Plant,PWTS,Small,Unanchored,Moderate,0.27,0.4
Water,8-4,Water Treatment Plant,PWTS,Small,Unanchored,Extensive,0.53,0.6
Water,8-4,Water Treatment Plant,PWTS,Small,Unanchored,Complete,0.83,0.6
Water,8-5,Water Treatment Plant,PWTM,Medium,Anchored,Slight,0.37,0.4
Water,8-5,Water Treatment Plant,PWTM,Medium,Anchored,Moderate,0.52,0.4
Water,8-5,Water Treatment Plant,PWTM,Medium,Anchored,Extensive,0.73,0.5
Water,8-5,Water Treatment Plant,PWTM,Medium,Anchored,Complete,1.28,0.5
Water,8-5,Water Treatment Plant,PWTM,Medium,Unanchored,Slight,0.2,0.4
Water,8-5,Water Treatment Plant,PWTM,Medium,Unanchored,Moderate,0.35,0.4
Water,8-5,Water Treatment Plant,PWTM,Medium,Unanchored,Extensive,0.75,0.5
Water,8-5,Water Treatment Plant,PWTM,Medium,Unanchored,Complete,1.28,0.5
Water,8-6,Water Treatment Plant,PWTL,Large,Anchored,Slight,0.44,0.4
Water,8-6,Water Treatment Plant,PWTL,Large,Anchored,Moderate,0.58,0.4
Water,8-6,Water Treatment Plant,PWTL,Large,Anchored,Extensive,0.87,0.45
Water,8-6,Water Treatment Plant,PWTL,Large,Anchored,Complete,1.57,0.45
Water,8-6,Water Treatment Plant,PWTL,Large,Unanchored,Slight,0.22,0.4
Water,8-6,Water Treatment Plant,PWTL,Large,Unanchored,Moderate,0.35,0.4
Water,8-6,Water Treatment Plant,PWTL,Large,Unanchored,Extensive,0.87,0.45
Water,8-6,Water Treatment Plant,PWTL,Large,Unanchored,Complete,1.57,0.45
Water,8-7,Pumping Plant,PPPS,Small,Anchored,Slight,0.15,0.7
Water,8-7,Pumping Plant,PPPS,Small,Anchored,Moderate,0.36,0.65
Water,8-7,Pumping Plant,PPPS,Small,Anchored,Extensive,0.66,0.65
Water,8-7,Pumping Plant,PPPS,Small,Anchored,Complete,1.5,0.8
Water,8-7,Pumping Plant,PPPS,Small,Unanchored,Slight,0.13,0.6
Water,8-7,Pumping Plant,PPPS,Small,Unanchored,Moderate,0.28,0.5
Water,8-7,Pumping Plant,PPPS,Small,Unanchored,Extensive,0.66,0.65
Water,8-7,Pumping Plant,PPPS,Small,Unanchored,Complete,1.5,0.8
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Anchored,Slight,0.15,0.75
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Anchored,Moderate,0.36,0.65
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Anchored,Extensive,0.77,0.65
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Anchored,Complete,1.5,0.8
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Unanchored,Slight,0.13,0.6
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Unanchored,Moderate,0.28,0.5
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Unanchored,Extensive,0.77,0.65
Water,8-8,Pumping Plant,PPPM/PPPL,Medium/Large,Unanchored,Complete,1.5,0.8
Water,8-9,Well,PWE,N/A,Anchored (assumed),Slight,0.15,0.75
Water,8-9,Well,PWE,N/A,Anchored (assumed),Moderate,0.36,0.65
Water,8-9,Well,PWE,N/A,Anchored (assumed),Extensive,0.72,0.65
Water,8-9,Well,PWE,N/A,Anchored (assumed),Complete,1.5,0.8
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Anchored,Slight,0.25,0.55
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Anchored,Moderate,0.52,0.7
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Anchored,Extensive,0.95,0.6
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Anchored,Complete,1.64,0.7
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Unanchored,Slight,0.18,0.6
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Unanchored,Moderate,0.42,0.7
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Unanchored,Extensive,0.7,0.55
Water,8-10,On-Ground Concrete Tank,PSTGC,N/A,Unanchored,Complete,1.04,0.6
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Anchored,Slight,0.3,0.6
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Anchored,Moderate,0.7,0.6
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Anchored,Extensive,1.25,0.65
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Anchored,Complete,1.6,0.6
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Unanchored,Slight,0.15,0.7
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Unanchored,Moderate,0.35,0.75
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Unanchored,Extensive,0.68,0.75
Water,8-10,On-Ground Steel Tank,PSTGS,N/A,Unanchored,Complete,0.95,0.7
Water,8-10,Above-Ground Steel Tank,PSTAS,N/A,N/A,Slight,0.18,0.5
Water,8-10,Above-Ground Steel Tank,PSTAS,N/A,N/A,Moderate,0.55,0.5
Water,8-10,Above-Ground Steel Tank,PSTAS,N/A,N/A,Extensive,1.15,0.6
Water,8-10,Above-Ground Steel Tank,PSTAS,N/A,N/A,Complete,1.5,0.6
Water,8-10,On-Ground Wood Tank,PSTGW,N/A,N/A,Slight,0.15,0.6
Water,8-10,On-Ground Wood Tank,PSTGW,N/A,N/A,Moderate,0.4,0.6
Water,8-10,On-Ground Wood Tank,PSTGW,N/A,N/A,Extensive,0.7,0.7
Water,8-10,On-Ground Wood Tank,PSTGW,N/A,N/A,Complete,0.9,0.7
Wastewater,8-16,Wastewater Treatment Plant,WWTS,Small,Anchored,Slight,0.23,0.4
Wastewater,8-16,Wastewater Treatment Plant,WWTS,Small,Anchored,Moderate,0.35,0.4
Wastewater,8-16,Wastewater Treatment Plant,WWTS,Small,Anchored,Extensive,0.48,0.5
